Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Wakefield,40.89470517661,-73.84720052054902,Lollipops Gelato,40.894123150205274,-73.84589162362325,Dessert Shop
Wakefield,40.89470517661,-73.84720052054902,Rite Aid,40.896649,-73.8448461,Pharmacy
Wakefield,40.89470517661,-73.84720052054902,Carvel Ice Cream,40.890486685759605,-73.84856772568665,Ice Cream Shop
Wakefield,40.89470517661,-73.84720052054902,Walgreens,40.896687,-73.84485,Pharmacy
Wakefield,40.89470517661,-73.84720052054902,Dunkin',40.8904587811365,-73.84908886747644,Donut Shop
Wakefield,40.89470517661,-73.84720052054902,Shell,40.894187118166535,-73.84586195733382,Gas Station
Wakefield,40.89470517661,-73.84720052054902,Cooler Runnings Jamaican Restaurant Inc,40.898083,-73.850259,Caribbean Restaurant
Wakefield,40.89470517661,-73.84720052054902,SUBWAY,40.89046821651127,-73.8491520209833,Sandwich Place
Wakefield,40.89470517661,-73.84720052054902,Pitman Deli,40.89414920073695,-73.84574821662589,Food
Wakefield,40.89470517661,-73.84720052054902,Koss Quick Wash,40.891281,-73.84990400000001,Laundromat
Co-op City,40.87429419303012,-73.82993910812398,Dollar Tree,40.87012498449601,-73.82898863175873,Discount Store
Co-op City,40.87429419303012,-73.82993910812398,Rite Aid,40.8703448818904,-73.82830202579498,Pharmacy
Co-op City,40.87429419303012,-73.82993910812398,Mattress Firm,40.87223414329722,-73.8286072661231,Mattress Store
Co-op City,40.87429419303012,-73.82993910812398,Capri II Pizza,40.87637420537464,-73.82994042507629,Pizza Place
Co-op City,40.87429419303012,-73.82993910812398,Bagels on Bartow,40.87028,-73.828611,Bagel Shop
Co-op City,40.87429419303012,-73.82993910812398,Baskin-Robbins,40.87004451117903,-73.8295779479274,Ice Cream Shop
Co-op City,40.87429419303012,-73.82993910812398,Food Universe Marketplace,40.87673987981054,-73.82898048976519,Grocery Store
Co-op City,40.87429419303012,-73.82993910812398,Arby's,40.87028,-73.828611,Fast Food Restaurant
Co-op City,40.87429419303012,-73.82993910812398,Townhouse Restaurant,40.876085887834265,-73.82886815052547,Restaurant
Co-op City,40.87429419303012,-73.82993910812398,truman track n field,40.87496253317124,-73.83084729386773,Baseball Field
Co-op City,40.87429419303012,-73.82993910812398,Guang Hui Chinese Restaurant,40.876651,-73.829092,Chinese Restaurant
Co-op City,40.87429419303012,-73.82993910812398,"Payless Discount Liquor Store, Inc.",40.876651,-73.829092,Liquor Store
Co-op City,40.87429419303012,-73.82993910812398,Sheer Elegance: Hair Plaza and Nail,40.87679079960787,-73.82952625493367,Salon / Barbershop
Co-op City,40.87429419303012,-73.82993910812398,Pure Romance Parties By Amy,40.87679203333333,-73.83047571666667,Gift Shop
Co-op City,40.87429419303012,-73.82993910812398,GREEN WAY IN CO OP CITY,40.87454754839479,-73.82618915642101,Trail
Co-op City,40.87429419303012,-73.82993910812398,The Park,40.87764512391663,-73.83083580661068,Park
Co-op City,40.87429419303012,-73.82993910812398,MTA MaBSTOA Bus Bx23 / Bx30 / Bx38 / Q50 at Donizetti Place & Baychester Ave (Section 1),40.87618793183889,-73.833838139328,Bus Station
Eastchester,40.887555677350775,-73.82780644716412,Fish & Ting,40.885656,-73.829197,Caribbean Restaurant
Eastchester,40.887555677350775,-73.82780644716412,Cozy Cottage Restaurant,40.88633207186384,-73.82761561924221,Diner
Eastchester,40.887555677350775,-73.82780644716412,Mario's Pizza,40.88862762439113,-73.83126012557018,Pizza Place
Eastchester,40.887555677350775,-73.82780644716412,Dyre Fish Market,40.889317642958616,-73.83145257358296,Seafood Restaurant
Eastchester,40.887555677350775,-73.82780644716412,Dunkin',40.88538419291817,-73.8280987591753,Donut Shop
Eastchester,40.887555677350775,-73.82780644716412,Dyre Deli Grocery,40.88823525219036,-73.8312823268945,Deli / Bodega
Eastchester,40.887555677350775,-73.82780644716412,Golden Krust Caribbean Restaurant,40.888488,-73.83108299999999,Caribbean Restaurant
Eastchester,40.887555677350775,-73.82780644716412,BowlerLand,40.88601990111869,-73.82320747767668,Bowling Alley
Eastchester,40.887555677350775,-73.82780644716412,Royal Caribbean Bakery,40.888249,-73.831661,Caribbean Restaurant
Eastchester,40.887555677350775,-73.82780644716412,Dyre Ave Diner,40.887968729082246,-73.83141284372412,Diner
Eastchester,40.887555677350775,-73.82780644716412,McDonald's,40.88563631373264,-73.82683955509486,Fast Food Restaurant
Eastchester,40.887555677350775,-73.82780644716412,MTA New York City Bus/Bee Line - Bx16/Bx30/W60/W61/W62 (Pelham/Co-op City/White Plains/Port Chester) @ Boston Road and Conner Street,40.88594,-73.82787,Bus Stop
Eastchester,40.887555677350775,-73.82780644716412,NYW&B Railway - Baychester,40.887882155187874,-73.83116319314648,Platform
Eastchester,40.887555677350775,-73.82780644716412,MTA Bus - BX 16,40.88790343813609,-73.83125388185631,Bus Station
Eastchester,40.887555677350775,-73.82780644716412,"MTA MaBSTOA & Bee-Line Bus: (Bx16, BL 52, 55)",40.88800860085501,-73.83133279875986,Bus Station
Eastchester,40.887555677350775,-73.82780644716412,MTA Subway - Eastchester/Dyre Ave (5),40.88798538407525,-73.83138309969671,Metro Station
Eastchester,40.887555677350775,-73.82780644716412,Adil Newsstand & Grocery,40.888433208510854,-73.83127682668768,Convenience Store
Eastchester,40.887555677350775,-73.82780644716412,Sunshine Supermarket,40.888888,-73.831019,Deli / Bodega
Eastchester,40.887555677350775,-73.82780644716412,Xing Lung Chinese Restaurant,40.8887854684858,-73.83122576835156,Chinese Restaurant
Eastchester,40.887555677350775,-73.82780644716412,MTA Bus & Bee Line Bx16/W52 @ Dyre Avenue and Light Street,40.88816692651784,-73.83152504085197,Bus Stop
Eastchester,40.887555677350775,-73.82780644716412,MTA MaBSTOA Bus Bx16 / Bx30 and Bee-line Route 52 / 60 / 61 / 62 at Dyre Ave / Boston Road (US 1),40.88461356066747,-73.83152944427044,Bus Station
Eastchester,40.887555677350775,-73.82780644716412,Dome Groomer's,40.884440701933244,-73.83205345211809,Cosmetics Shop
Fieldston,40.89543742690383,-73.90564259591682,Fieldston Road Circle,40.89448851736085,-73.90562087134356,Plaza
Fieldston,40.89543742690383,-73.90564259591682,Riverside Drive,40.896507486527454,-73.90826091791374,River
Fieldston,40.89543742690383,-73.90564259591682,MTA MaBSTOA Bus Bx7 / Bx10 / Bx20 / BxM1 / BxM2 / BxM18 at 246th St. / Hudson Parkway,40.89354823043404,-73.90815138816833,Bus Station
Riverdale,40.890834493891305,-73.9125854610857,Riverdale Ave,40.890424929507866,-73.91024841803598,Plaza
Riverdale,40.890834493891305,-73.9125854610857,Bell Tower Park,40.88917798960079,-73.90833081276627,Park
Riverdale,40.890834493891305,-73.9125854610857,Chase Bank,40.888089,-73.907921,Bank
Riverdale,40.890834493891305,-73.9125854610857,Seton Park,40.88791393116787,-73.91611321473175,Park
Riverdale,40.890834493891305,-73.9125854610857,JHS Riverdale Baseball Field,40.88776539164418,-73.91503930091858,Baseball Field
Riverdale,40.890834493891305,-73.9125854610857,Park Lunch,40.887052545514,-73.91315349663765,Food Truck
Riverdale,40.890834493891305,-73.9125854610857,Shallash Pest Control,40.89466945869686,-73.91321539878845,Home Service
Riverdale,40.890834493891305,-73.9125854610857,Hayden On Hudson Gym,40.889593,-73.917446,Gym
Riverdale,40.890834493891305,-73.9125854610857,MTA BX7 238th Stop,40.88903574764659,-73.9080494858546,Bus Station
Riverdale,40.890834493891305,-73.9125854610857,MTA MaBSTOA Bus Bx7 / Bx10 / Bx20 / BxM1 / BxM2 / BxM18 at 246th St. / Hudson Parkway,40.89354823043404,-73.90815138816833,Bus Station
Kingsbridge,40.88168737120521,-73.90281798724604,Garden Gourmet Market,40.88135023917183,-73.90338943716417,Gourmet Shop
Kingsbridge,40.88168737120521,-73.90281798724604,Leche y Miel,40.883742,-73.90185699999999,Latin American Restaurant
Kingsbridge,40.88168737120521,-73.90281798724604,Kingsbridge Social Club,40.88454548045115,-73.90196378126393,Pizza Place
Kingsbridge,40.88168737120521,-73.90281798724604,El Malecon,40.87933806746814,-73.90445707056641,Caribbean Restaurant
Kingsbridge,40.88168737120521,-73.90281798724604,Sam's Pizza,40.87943501792795,-73.90585879861192,Pizza Place
Kingsbridge,40.88168737120521,-73.90281798724604,Carvel Ice Cream,40.883657145742866,-73.90165452034793,Ice Cream Shop
Kingsbridge,40.88168737120521,-73.90281798724604,The Bronx Public,40.87837659295958,-73.90348117090952,Pub
Kingsbridge,40.88168737120521,-73.90281798724604,Smashburger,40.8842208517097,-73.90033254824955,Burger Joint
Kingsbridge,40.88168737120521,-73.90281798724604,Bronx Alehouse,40.88474887262718,-73.89969883486997,Beer Bar
